Δήμος;Διαθέσιμα;Απλήρωτες Υποχρεώσεις σε Τρίτους (ΜΔ);Εκκρεμείς υποχρεώσεις σε Τρίτους (ΜΔ);Ληξιπρόθεσμες υποχρεώσεις σε Τρίτους (ΜΔ)
ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ;4.200.705;1.161.697;1.138.411;38.015
ΔΗΜΟΣ ΥΔΡΑΣ;2.336.757;381.951;381.41;271.596
ΔΗΜΟΣ ΦΑΙΣΤΟΥ;1.894.556;878.577;682.909;22.639
ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ;2.443.698;539.719;539.719;55.391
ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ;4.351.697;971.444;944.154;105.95
ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ;1.143.483;372.376;372.143;57.407
ΔΗΜΟΣ ΦΙΛΟΘΕΗΣ-ΨΥΧΙΚΟΥ;7.270.543;1.578.267;531.111;15.39
ΔΗΜΟΣ ΦΛΩΡΙΝΑΣ;8.840.785;1.858.348;1.810.912;38.619
ΔΗΜΟΣ ΦΟΛΕΓΑΝΔΡΟΥ;292.05;125.045;118.384;2.265
ΔΗΜΟΣ ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ;2.314.303;1.237;1.212;0
ΔΗΜΟΣ ΦΥΛΗΣ;3.400.726;2.886.364;2.873.655;1.038.583
ΔΗΜΟΣ ΧΑΙΔΑΡΙΟΥ;1.900.472;735.328;156.981;36.661
ΔΗΜΟΣ ΧΑΛΑΝΔΡΙΟΥ;12.764.731;2.458.536;2.458.536;303.104
ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ;11.432.550;1.179.700;1.179.451;148.726
ΔΗΜΟΣ ΧΑΛΚΗΣ;2.133.826;181.562;181.562;38.424
ΔΗΜΟΣ ΧΑΛΚΙΔΕΩΝ;16.779.822;5.056.443;4.831.546;1.535.612
ΔΗΜΟΣ ΧΑΝΙΩΝ;19.554.104;1.780.075;1.637.388;98.908
ΔΗΜΟΣ ΧΕΡΣΟΝΗΣΟΥ;16.240.107;2.721.454;581.771;128.836
ΔΗΜΟΣ ΧΙΟΥ;13.651.046;2.498.610;2.291.363;89.022
ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ;12.445.120;2.585.512;2.387.562;868.035
ΔΗΜΟΣ ΩΡΩΠΟΥ;3.249.870;2.575.161;1.491.250;19.267
