ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
49,37.9587256,23.6692602,113,ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,1,ΑΓ. ΙΩΑΝΝΟΥ ΡΕΝΤΗ 113  Δήμος ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ ΤΚ 18233,ΑΓ. ΙΩΑΝΝΟΥ ΡΕΝΤΗ,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΡΕΝΤΗ,ΑΠΟΛΛΩΝ,18233.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"18159,49",13.0,25.0
50,37.9627608,23.672445,18,ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,1,ΑΓ. ΙΩΑΝΝΟΥ ΡΕΝΤΗ 18  Δήμος ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ ΤΚ 18233,ΑΓ. ΙΩΑΝΝΟΥ ΡΕΝΤΗ,1 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓ Ι ΡΕΝΤΗ,ΑΠΟΛΛΩΝ,18233.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"18159,49",58.0,54.0
51,37.9622543,23.6727093,29,ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ,5/8,ΑΓ. ΙΩΑΝΝΟΥ ΡΕΝΤΗ 29 Ξ Δήμος ΑΓ. ΙΩΑΝΝΗ ΡΕΝΤΗ ΤΚ 18233,ΑΓ. ΙΩΑΝΝΟΥ ΡΕΝΤΗ,1 ΝΗΠΙΑΓΩΓΕΙΟ ΡΕΝΤΗ,ΑΠΟΛΛΩΝ,18233.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"18159,49",16.0,21.0
52,38.0532993,23.734669,55,ΑΧΑΡΝΩΝ,5/8,ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ & ΕΛΕΝΗΣ 55  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13671,ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ & ΕΛΕΝΗΣ,4ΟΝ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΧΑΡΝ,ΛΥΚΟΤΡΥΠΑ,13671.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"18548,71",148.0,144.0
53,37.9459562,23.6733937,9,ΜΟΣΧΑΤΟΥ,1.5,ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ 9  Δήμος ΜΟΣΧΑΤΟΥ ΤΚ 18344,ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΥ,6 ΔΗΜΟΤΙΚΟ-5 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ,18344.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"24512,25",25.0,28.0
54,38.062959,23.5812726,37,ΑΣΠΡΟΠΥΡΓΟΥ,5/8,ΑΓ. ΜΑΡΙΝΗΣ 37  Δήμος ΑΣΠΡΟΠΥΡΓΟΥ ΤΚ 19300,ΑΓ. ΜΑΡΙΝΗΣ,,ΑΣΠΡΟΠΥΡΓΟΣ,19300.0,ΑΣΠΡΟΠΥΡΓΟΥ,31420.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"17720,47",370.5,436.5
55,38.0006557,23.7285178,105,ΑΘΗΝΑΙΩΝ,5/8,ΑΓ. ΜΕΛΕΤΙΟΥ 105  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11251,ΑΓ. ΜΕΛΕΤΙΟΥ,67 ΓΕΛ,ΚΕΦΑΛΛΗΝΙΑΣ,11251.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18693,22",0.0,0.0
56,38.0235476,23.6912075,9,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΑΓ. ΜΥΡΩΝΟΣ 9  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12135,ΑΓ. ΜΥΡΩΝΟΣ,38 ΔΗΜΟΤΙΚΟ,ΑΝΘΟΥΠΟΛΗ,12135.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,18533,71.0,56.0
57,35.3321952,25.1513276,2,ΗΡΑΚΛΕΙΟΥ,1.5,ΑΓ. ΝΕΚΤΑΡΙΟΥ 2  Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14122,ΑΓ. ΝΕΚΤΑΡΙΟΥ,13 ΔΗΜΟΤΙΚΟ,ΗΡΑΚΛΕΙΟ,14122.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"24674,11",153.0,101.0
58,37.886022,23.7748575,450,ΓΛΥΦΑΔΑΣ,1,ΑΓ. ΝΕΚΤΑΡΙΟΥ 450 Μ Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16561,ΑΓ. ΝΕΚΤΑΡΙΟΥ,,ΤΕΡΨΙΘΕΑ,16561.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25976,81",78.5,69.5
59,38.0536882,23.7603391,71,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,,ΑΓ. ΝΕΚΤΑΡΙΟΥ 71  Δήμος ΜΕΤΑΜΟΡΦΩΣΕΩΣ ΤΚ 14451,ΑΓ. ΝΕΚΤΑΡΙΟΥ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Β/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΜΕΤΑΜΟΡΦΩΣΗ,14451.0,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,30170.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"22083,11",0.0,0.0
60,37.9760314,23.6490406,13,ΚΟΡΥΔΑΛΛΟΥ,5/8,ΑΓ. ΝΙΚΟΛΑΟΥ 13  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18121,ΑΓ. ΝΙΚΟΛΑΟΥ,ΝΗΠΙΑΓΩΓΕΙΟ ΚΟΡ/ΛΟΥ,ΤΑΞΙΑΡΧΕΣ,18121.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"18935,13",19.0,21.0
61,37.96452,23.5679726,2,ΠΕΡΑΜΑΤΟΣ,1.5,ΑΓ. ΝΙΚΟΛΑΟΥ 2  Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,ΑΓ. ΝΙΚΟΛΑΟΥ,Γ' ΔΗΜΟΤΙΚΟ,ΑΓ. ΝΙΚΟΛΑΟΣ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",0.0,0.0
62,37.8703963,23.7507805,16,ΓΛΥΦΑΔΑΣ,1,ΑΓ. ΝΙΚΟΛΑΟΥ ΛΕΩΦ. 16  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16675,ΑΓ. ΝΙΚΟΛΑΟΥ ΛΕΩΦ.,1 ΛΥΚΕΙΟ,ΓΛΥΦΑΔΑ,16675.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"35749,24",164.0,183.0
63,38.0507009,23.695126,27,ΚΑΜΑΤΕΡΟΥ,1,ΑΓ. ΝΙΚΟΛΑΟΥ ΛΕΩΦ. 27  Δήμος ΚΑΜΑΤΕΡΟΥ ΤΚ 13451,ΑΓ. ΝΙΚΟΛΑΟΥ ΛΕΩΦ.,,ΑΓ. ΝΙΚΟΛΑΟΣ,13451.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19752,55",80.0,80.5
64,37.9567449,23.6312718,82,ΠΕΙΡΑΙΩΣ,1,ΑΓ. ΟΡΟΥΣ 82  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΑΓ. ΟΡΟΥΣ,28 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΣΟΦΙΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",14.0,26.0
65,37.9505968,23.6276016,77,ΔΡΑΠΕΤΣΩΝΑΣ,5/8,ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΟΣ 77  Δήμος ΔΡΑΠΕΤΣΩΝΑΣ ΤΚ 18648,ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΟΣ,1 ΓΥΜΝΑΣΙΟ ΛΥΚΕΙΟ,ΔΡΑΠΕΤΣΩΝΑ,18648.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"18932,8",110.0,96.0
66,38.0174044,23.8107084,114,ΧΑΛΑΝΔΡΙΟΥ,5/8,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ 114 Ο Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15232,ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,2 ΕΠΑΛ ΣΧ. ΕΠ. Β/ΜΙΑΣ ΕΚΠ,ΧΑΛΑΝΔΡΙ,15232.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"29053,17",0.0,0.0
67,38.0041629,23.7040122,51,ΠΕΡΙΣΤΕΡΙΟΥ,1.5,ΑΓ. ΠΑΥΛΟΥ 51  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12132,ΑΓ. ΠΑΥΛΟΥ,,Ν. ΚΟΛΟΚΥΝΘΟΥ,12132.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21136,59",121.5,110.0
68,38.0951369,23.7328753,0,ΑΧΑΡΝΩΝ,,ΑΓ. ΠΕΤΡΟΥ 0  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13675,ΑΓ. ΠΕΤΡΟΥ,4 ΛΥΚΕΙΟ,ΝΕΑΠΟΛΗ,13675.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,153.0,267.0
69,38.0091998,23.6805066,2,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΑΓ. ΠΟΛΥΚΑΡΠΟΥ 2  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12136,ΑΓ. ΠΟΛΥΚΑΡΠΟΥ,13 ΓΥΜΝΑΣΙΟ ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙ,12136.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19205,96",140.0,143.0
70,38.0481847,23.6885907,8,ΠΕΤΡΟΥΠΟΛΕΩΣ,1,ΑΓ. ΠΟΛΥΚΑΡΠΟΥ 8  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13232,ΑΓ. ΠΟΛΥΚΑΡΠΟΥ,5 ΔΗΜΟΤΙΚΟ,ΠΕΤΡΟΥΠΟΛΗ,13232.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,,143.0,146.0
71,39.8592119,20.0271001,43,ΑΓ. ΔΗΜΗΤΡΙΟΥ,5/8,ΑΓ. ΣΑΡΑΝΤΑ 43  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17341,ΑΓ. ΣΑΡΑΝΤΑ,,ΣΑΡΩΝΙΚΟΣ,17341.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21308,05",113.0,105.0
72,37.9649487,23.7005719,16,ΤΑΥΡΟΥ,1,ΑΓ. ΣΟΦΙΑΣ 16  Δήμος ΤΑΥΡΟΥ ΤΚ 17778,ΑΓ. ΣΟΦΙΑΣ,ΤΕΛ 1Ο 2Ο ΤΕΣ ΤΑΥΡΟ,ΤΑΥΡΟΣ,17778.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"19006,42",112.0,97.0
73,37.9452826,23.7170225,19,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΑΓ. ΣΟΦΙΑΣ 19  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17124,ΑΓ. ΣΟΦΙΑΣ,10 ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17124.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25762,48",23.0,20.0
74,38.0681912,23.5944598,19,ΑΣΠΡΟΠΥΡΓΟΥ,5/8,ΑΓ. ΣΟΦΙΑΣ 19 Α Δήμος ΑΣΠΡΟΠΥΡΓΟΥ ΤΚ 19300,ΑΓ. ΣΟΦΙΑΣ,2 ΔΗΜΟΤΙΚΟ & 2 ΓΥΜΝΑΣΙΟ ΑΣΠΡΟΠΥΡ,ΑΣΠΡΟΠΥΡΓΟΣ,19300.0,ΑΣΠΡΟΠΥΡΓΟΥ,31420.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"17720,47",141.0,96.0
75,37.9996132,23.7793987,40,ΝΕΟΥ ΨΥΧΙΚΟΥ,5/8,ΑΓ. ΣΟΦΙΑΣ 40  Δήμος ΝΕΟΥ ΨΥΧΙΚΟΥ ΤΚ 15451,ΑΓ. ΣΟΦΙΑΣ,1Ο& 2Ο ΛΥΚΕΙΟ Ν ΨΥΧΙΚΟΥ,ΝΕΟ ΨΥΧΙΚΟ,15451.0,ΦΙΛΟΘΕΗΣ – ΨΥΧΙΚΟΥ,27400.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"35671,5",145.0,135.0
76,37.9357210999999,23.7295198,21,ΑΓ. ΔΗΜΗΤΡΙΟΥ,1.5,ΑΓ. ΣΠΥΡΙΔΩΝΟΣ 21  Δήμος ΑΓ. ΔΗΜΗΤΡΙΟΥ ΤΚ 17343,ΑΓ. ΣΠΥΡΙΔΩΝΟΣ,ΣΧ.ΕΠ.Α/ΘΜΙΑΣ ΕΚΠ.8 ΔΗΜΟΤΙΚΟ,ΑΓ. ΔΗΜΗΤΡΙΟΣ,17343.0,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,71747.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"21641,72",86.0,84.0
77,38.0265301,23.836504,1,ΧΑΛΑΝΔΡΙΟΥ,1,ΑΓ. ΦΩΤΕΙΝΗΣ 1  Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15238,ΑΓ. ΦΩΤΕΙΝΗΣ,8 ΓΥΜΝΑΣΙΟ ΣΧ. ΕΠ. Β/ΜΙΑΣ ΕΚΠ,ΠΑΤΗΜΑ,15238.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,,0.0,0.0
78,37.9690376,23.7028778,41,ΑΘΗΝΑΙΩΝ,,ΑΓΑΘΟΔΑΙΜΟΝΟΣ 41  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11853,ΑΓΑΘΟΔΑΙΜΟΝΟΣ,149 ΔΗΜΟΤΙΚΟ,ΚΑΤΩ ΠΕΤΡΑΛΩΝΑ,11853.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"18992,49",0.0,0.0
79,37.8705522,23.7638174,36,ΓΛΥΦΑΔΑΣ,1,ΑΓΑΜΕΜΝΟΝΟΣ 36  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16674,ΑΓΑΜΕΜΝΟΝΟΣ,,ΚΑΡΒΕΛΑΣ,16674.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"33421,32",157.0,139.0
80,37.8705372,23.7641936,38,ΓΛΥΦΑΔΑΣ,1,ΑΓΑΜΕΜΝΟΝΟΣ 38  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16674,ΑΓΑΜΕΜΝΟΝΟΣ,ΕΠΑΛ,ΚΑΡΒΕΛΑΣ,16674.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"33421,32",126.0,94.0
81,38.0529609,23.7801331,1,ΗΡΑΚΛΕΙΟΥ,5/8,ΑΓΝΩΣΤΩΝ ΗΡΩΩΝ 1  Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14121,ΑΓΝΩΣΤΩΝ ΗΡΩΩΝ,14 ΝΗΠΙΑΓΩΓΕΙΟ,ΗΡΑΚΛΕΙΟ,14121.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"26223,75",22.0,17.0
82,37.9366101,23.7086455,1,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ 1 Α Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17122,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ,5 ΓΥΜΝΑΣΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17122.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26456,48",106.0,104.0
83,37.9367012,23.7075221,10,ΝΕΑΣ ΣΜΥΡΝΗΣ,1,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ 10 Ξ Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17122,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ,1 ΤΕΕ,ΝΕΑ ΣΜΥΡΝΗ,17122.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26456,48",103.0,6.0
84,37.9364943,23.7081264,16,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ 16  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17122,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ,5 ΛΥΚΕΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17122.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26456,48",0.0,0.0
85,37.9351116,23.7150102,88,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ 88  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17123,ΑΓΝΩΣΤΩΝ ΜΑΡΤΥΡΩΝ,Β' ΠΑΙΔΙΚΟΣ ΣΤΑΘΜΟΣ Ν ΣΜΥΡΝΗΣ,ΝΕΑ ΣΜΥΡΝΗ,17123.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26353,85",0.0,0.0
86,37.9965385,23.725432,12,ΑΘΗΝΑΙΩΝ,1,ΑΓΟΡΑΚΡΙΤΟΥ 12  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10446,ΑΓΟΡΑΚΡΙΤΟΥ,99 ΔΗΜΟΤΙΚΟ/ 66 & 80 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,10446.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"16282,46",10.0,15.0
87,38.0381767,23.6951691,47,ΠΕΤΡΟΥΠΟΛΕΩΣ,1.5,ΑΓΡΑΦΩΝ 47  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13232,ΑΓΡΑΦΩΝ,14 ΔΗΜΟΤΙΚΟ,ΠΕΤΡΟΥΠΟΛΗ,13232.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,,148.0,146.0
88,37.9547423,23.6407324,181,ΠΕΙΡΑΙΩΣ,1.5,ΑΓΧΙΑΛΟΥ 181  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΑΓΧΙΑΛΟΥ,27 ΔΗΜ.ΣΧΟΛ,ΑΓ. ΣΟΦΙΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",0.0,0.0
89,37.9547423,23.6407324,188,ΠΕΙΡΑΙΩΣ,1,ΑΓΧΙΑΛΟΥ 188  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18546,ΑΓΧΙΑΛΟΥ,7 ΕΝΙΑΙΟ ΛΥΚΕΙΟ ΠΕΙΡΑΙΑ,ΑΓ. ΣΟΦΙΑ,18546.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"19560,32",127.0,131.0
90,37.9733765,23.7300071,114,ΑΘΗΝΑΙΩΝ,5/8,ΑΔΡΙΑΝΟΥ 114  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10558,ΑΔΡΙΑΝΟΥ,1 ΠΕΙΡΑΜΑΤΙΚΟ ΓΥΜΝΑΣΙΟ,ΠΛΑΚΑ,10558.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"33755,61",0.0,0.0
91,37.9526335,23.6227459,41,ΚΕΡΑΤΣΙΝΙΟΥ,,ΑΔΡΙΑΝΟΥ 41  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18755,ΑΔΡΙΑΝΟΥ,4 ΔΗΜΟΤΙΚΟ 16 ΝΗΠΙΑΓΩΓΕΙΟ,ΕΥΓΕΝΕΙΑ,18755.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19613,75",0.0,0.0
92,38.015933,23.6968877,24,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ 24  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12134,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ,2 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΠΕΡΙΣΤΕΡΙ,12134.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21029,84",132.0,108.0
93,37.9641734,23.7593084,45,ΚΑΙΣΑΡΙΑΝΗΣ,5/8,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ 45  Δήμος ΚΑΙΣΑΡΙΑΝΗΣ ΤΚ 16121,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ,ΠΡΩΗΝ 2 ΣΕΚ ΑΘΗΝ. ΕΡΓΑΣΤΗΡ.,ΚΑΙΣΑΡΙΑΝΗ,16121.0,ΚΑΙΣΑΡΙΑΝΗΣ,26260.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21812,63",0.0,0.0
94,38.1295226,23.7557493,48,ΚΟΙΝ. ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ,5/8,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ 48  Δήμος ΚΟΙΝ. ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ ΤΚ 13676,ΑΔΡΙΑΝΟΥΠΟΛΕΩΣ,1 ΝΗΠΙΑΓΩΓΕΙΟ ΘΡΑΚ/ΝΩΝ,ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,13676.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"39024,77",26.0,25.0
95,37.9381133,23.6981864,21,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,,ΑΕΡΟΠΟΡΩΝ 21  Δήμος ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ ΤΚ 17564,ΑΕΡΟΠΟΡΩΝ,12 ΔΗΜΟΤΙΚΟ Π. ΦΑΛΗΡΟΥ,ΑΜΦΙΘΕΑ,17564.0,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,64879.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25788,04",143.0,132.0
96,37.9992778,23.7970381,48,ΧΟΛΑΡΓΟΥ,,ΑΕΤΙΔΕΩΝ 48  Δήμος ΧΟΛΑΡΓΟΥ ΤΚ 15561,ΑΕΤΙΔΕΩΝ,,ΧΟΛΑΡΓΟΣ,15561.0,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30451,95",85.0,84.0
97,38.0336564,23.6981929,57,ΙΛΙΟΥ,1,ΑΕΤΟΜΗΛΙΤΣΗΣ 57  Δήμος ΙΛΙΟΥ ΤΚ 13123,ΑΕΤΟΜΗΛΙΤΣΗΣ,11 ΓΥΜΝΑΣΙΟ,ΜΙΧΕΛΗ,13123.0,ΙΛΙΟΥ,83523.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21002,37",176.0,145.0
98,38.0560861,23.7481236,14,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,2,ΑΘΗΝΑΣ 14  Δήμος ΜΕΤΑΜΟΡΦΩΣΕΩΣ ΤΚ 14451,ΑΘΗΝΑΣ,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Α/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΜΕΤΑΜΟΡΦΩΣΗ,14451.0,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,30170.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"22083,11",0.0,0.0
